date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend,week_of_year
2021-01-29,2021,1,1,January,29,4,Friday,False,4
2021-01-30,2021,1,1,January,30,5,Saturday,True,4
2021-01-31,2021,1,1,January,31,6,Sunday,True,4
2021-02-01,2021,1,2,February,1,0,Monday,False,5
2021-02-02,2021,1,2,February,2,1,Tuesday,False,5
2021-02-03,2021,1,2,February,3,2,Wednesday,False,5
2021-02-04,2021,1,2,February,4,3,Thursday,False,5
2021-02-05,2021,1,2,February,5,4,Friday,False,5
2021-02-06,2021,1,2,February,6,5,Saturday,True,5
2021-02-07,2021,1,2,February,7,6,Sunday,True,5
2021-02-08,2021,1,2,February,8,0,Monday,False,6
2021-02-09,2021,1,2,February,9,1,Tuesday,False,6
2021-02-10,2021,1,2,February,10,2,Wednesday,False,6
2021-02-11,2021,1,2,February,11,3,Thursday,False,6
2021-02-12,2021,1,2,February,12,4,Friday,False,6
2021-02-13,2021,1,2,February,13,5,Saturday,True,6
2021-02-14,2021,1,2,February,14,6,Sunday,True,6
2021-02-15,2021,1,2,February,15,0,Monday,False,7
2021-02-16,2021,1,2,February,16,1,Tuesday,False,7
2021-02-17,2021,1,2,February,17,2,Wednesday,False,7
2021-02-18,2021,1,2,February,18,3,Thursday,False,7
2021-02-19,2021,1,2,February,19,4,Friday,False,7
2021-02-20,2021,1,2,February,20,5,Saturday,True,7
2021-02-21,2021,1,2,February,21,6,Sunday,True,7
2021-02-22,2021,1,2,February,22,0,Monday,False,8
2021-02-23,2021,1,2,February,23,1,Tuesday,False,8
2021-02-24,2021,1,2,February,24,2,Wednesday,False,8
2021-02-25,2021,1,2,February,25,3,Thursday,False,8
2021-02-26,2021,1,2,February,26,4,Friday,False,8
2021-02-27,2021,1,2,February,27,5,Saturday,True,8
2021-02-28,2021,1,2,February,28,6,Sunday,True,8
2021-03-01,2021,1,3,March,1,0,Monday,False,9
2021-03-02,2021,1,3,March,2,1,Tuesday,False,9
2021-03-03,2021,1,3,March,3,2,Wednesday,False,9
2021-03-04,2021,1,3,March,4,3,Thursday,False,9
2021-03-05,2021,1,3,March,5,4,Friday,False,9
2021-03-06,2021,1,3,March,6,5,Saturday,True,9
2021-03-07,2021,1,3,March,7,6,Sunday,True,9
2021-03-08,2021,1,3,March,8,0,Monday,False,10
2021-03-09,2021,1,3,March,9,1,Tuesday,False,10
2021-03-10,2021,1,3,March,10,2,Wednesday,False,10
2021-03-11,2021,1,3,March,11,3,Thursday,False,10
2021-03-12,2021,1,3,March,12,4,Friday,False,10
2021-03-13,2021,1,3,March,13,5,Saturday,True,10
2021-03-14,2021,1,3,March,14,6,Sunday,True,10
2021-03-15,2021,1,3,March,15,0,Monday,False,11
2021-03-16,2021,1,3,March,16,1,Tuesday,False,11
2021-03-17,2021,1,3,March,17,2,Wednesday,False,11
2021-03-18,2021,1,3,March,18,3,Thursday,False,11
2021-03-19,2021,1,3,March,19,4,Friday,False,11
2021-03-20,2021,1,3,March,20,5,Saturday,True,11
2021-03-21,2021,1,3,March,21,6,Sunday,True,11
2021-03-22,2021,1,3,March,22,0,Monday,False,12
2021-03-23,2021,1,3,March,23,1,Tuesday,False,12
2021-03-24,2021,1,3,March,24,2,Wednesday,False,12
2021-03-25,2021,1,3,March,25,3,Thursday,False,12
2021-03-26,2021,1,3,March,26,4,Friday,False,12
2021-03-27,2021,1,3,March,27,5,Saturday,True,12
2021-03-28,2021,1,3,March,28,6,Sunday,True,12
2021-03-29,2021,1,3,March,29,0,Monday,False,13
2021-03-30,2021,1,3,March,30,1,Tuesday,False,13
2021-03-31,2021,1,3,March,31,2,Wednesday,False,13
2021-04-01,2021,2,4,April,1,3,Thursday,False,13
2021-04-02,2021,2,4,April,2,4,Friday,False,13
